Subject,Start Date,Start Time,End Time,Location,Description
Joint IO/Theory/Econometrics Workshop: Ginger Jin,2024-04-23,03:30 PM,05:00 PM,"Monroe Hall, Room 120",Department of Economics
International/Trade Workshop: Luca David Opromolla,2024-04-24,03:30 PM,05:00 PM,"Monroe Hall, Room 120",Department of Economics
Public Economics Workshop: Corina Mommaerts,2024-04-25,03:30 PM,05:00 PM,"Monroe Hall, Room 120",Department of Economics
IO/Theory Economics Workshop: Regis Renault,2024-04-29,03:30 PM,05:00 PM,"Monroe Hall, Room 120",Department of Economics
Dissertation Defense: Siqi Yang,2024-04-29,10:00 AM,11:30 AM,"Monroe Hall, Room 235",Department of Economics
Global Development Seminar: Laurent Bouton,2024-04-30,12:15 PM,01:30 PM,"Monroe Hall, Room 120",Department of Economics
Dissertation Defense- Donghyun Suh,2024-04-30,10:00 AM,11:30 AM,"Monroe Hall, Room 235",Department of Economics
May the 4th,2024-05-03,,,,Scholars' Lab
Mother's Day,2024-05-06,,,,Scholars' Lab
M.S. in Business Analytics Women in Analytics Panel,2024-04-16,,,,University of Virginia
A Librarian Like No Other: Belle da Costa Greene and Self-invention,2024-04-17,,,cal.lib.virginia.edu,University of Virginia
2024 Undergraduate Research Symposium,2024-04-18,,,Newcomb Hall (Student Center),University of Virginia
Putting Equity-Minded Policy Into Practice,2024-04-18,,,Garrett Hall,University of Virginia
M.S. in the Management of IT Application Strategy Session,2024-04-18,,,mcintire.zoom.us,University of Virginia
Fashion As Art Keynote Speaker,2024-04-18,,,"Hunter Smith Band Building
180 Culbreth Road",University of Virginia
M.S. in Accounting Information Session,2024-04-18,,,,University of Virginia
,2024-04-19,,,Newcomb Hall (Student Center),University of Virginia
EHD Undergraduate Graduation Celebration,2024-05-01,,,,School of Education and Human Development
UVA Club of Washington DC: UVA Graduate School Fair,2024-05-08,,,,School of Education and Human Development
Global Futures Symposium,2024-04-25,,,,UVA Global
2024 People Power Academy,2024-04-26,,,,UVA Global
Global Partnership Essentials: Sugar Pack  Pack for Wellness,2024-04-17,,,,UVA Global
ECE Seminar: Speaker: Dr. Charles E. Boyer,2024-04-19,,,THORNTON HALL ROOM C311,School of Engineering and Applied Science
